contact_probability,duration_generations,learn_base,learn_cognition,level_difficulty,teaching_max,innovation_rate,non_speciality_factor,skill_fitness_benefit,brain_cost,extra_models_max,recombination_strength,migration_scale,infrastructure_steepness,primary_ignitions,replicates,primary_probability,permissive_probability,strict_probability,median_final_repertoire,median_final_primary_fraction
0.08964960343105657,32.88389884879008,0.6733429280670948,0.2213650640812744,0.045261619540297476,0.1809204750274104,0.4674595013469957,0.0003245950074808205,0.07487594637906403,0.5139737222869352,4.150799074906823,7.093228152405232,0.0058137044633496775,13.378330267876608,0,3,0.0,0.0,0.0,5.321875,0.0
0.024054753402127635,84.93892299987527,0.6241190489448412,0.23369653096232237,0.053438212962140304,0.1269735463842607,0.7843408467002637,0.018930793176820414,0.07392349123057435,0.6280240281264572,3.6480909928229193,3.5715136864394808,0.06766413410355722,10.257969706350943,0,3,0.0,0.0,0.0,3.875,0.0
0.10749278101851928,34.446195096748816,0.6407800794130937,0.3682418063319213,0.05871300716177917,0.18983813038246175,0.5864361355737984,0.006047613000854745,0.0799101618083933,0.3851553277415944,0.5982219039535103,0.4941892137683317,0.061794659574452605,6.244651402291744,0,3,0.0,0.0,0.0,13.290625,0.428125
0.007557040848529668,42.5581038591159,0.6707889647297596,0.28083749354969934,0.04776001643465659,0.01031135937021279,0.47271388717022833,0.006851008437008348,0.05532402046735356,0.32811609258154895,5.487641425582639,4.843880801495398,0.06600200506281152,16.906361787282215,0,3,0.0,0.0,0.0,5.678125,0.0
0.11230750095076455,84.36211195980663,0.6739183541964449,0.23131352577086053,0.0508985447873126,0.3094988532787837,0.7314940276254946,0.015654470231965232,0.06897176431912072,0.7732039731585962,3.686378166088336,8.788983809801154,0.03887814218257479,16.15047818121824,1,3,0.3333333333333333,0.3333333333333333,0.0,12.8625,0.375
0.1079537222058194,92.53943153404363,0.6635320882689977,0.33894980715712075,0.07164048657178052,0.22040254553384836,0.366993897462995,0.00011269858220786731,0.07867209541889264,0.31406685319239247,3.1393559742934887,6.052269630156322,0.012828595065902322,12.381474595869854,2,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,24.9375,0.93125
0.043476155794621975,44.72954290730242,0.6612571909299364,0.30821730371309686,0.0626427070876838,0.3820639977095951,0.7935912229950038,0.00734993131702786,0.07028985763229977,0.714663176123636,1.9125134001369128,4.422005606064481,0.020451879634838684,12.836740112778868,0,3,0.0,0.0,0.0,7.3875,0.125
0.06731370264011882,89.63969296005746,0.6864651303678296,0.23893184831748823,0.052934715430294,0.15641754191931867,0.3584597431543881,0.009946933140235554,0.03678804688559993,0.5276437191284071,1.6816220219374243,5.293424678500407,0.065148927753229,7.87543845188358,0,3,0.0,0.0,0.0,4.53125,0.0
0.1152015060543249,91.46519968732476,0.6972939994391127,0.35601921102110545,0.053603871722565685,0.026970578060413267,0.7612903230355392,0.006225486725170214,0.07600542014702613,0.7858914276366963,2.0040722496714096,7.49796223157184,0.059519349000270685,6.158233338890225,0,3,0.0,0.0,0.0,8.38125,0.046875
0.17820004468579975,72.31300776893976,0.6964012758969381,0.3258253916233659,0.05643203138774399,0.24773968006817776,0.5324935261017439,0.007676858256234906,0.08252518453389028,0.30168283708955285,0.6407950951454322,2.786066457618154,0.009573239144064105,15.68902371230025,3,3,1.0,1.0,1.0,28.103125,1.0
0.18929832150838943,27.796528678789183,0.679175756702151,0.3949942564134134,0.06682678770947437,0.1700320069727937,0.7164347714619743,0.00040661895918948595,0.058037333558597755,0.45521488416403644,4.97381761060009,0.3210930904127214,0.04600183906929393,9.357524429690944,2,3,0.6666666666666666,1.0,0.6666666666666666,24.84375,0.928125
0.1456167467885291,77.83696185084958,0.6743708339746628,0.21117768250864155,0.05331553556815371,0.27464150968018264,0.7983142424813849,0.0011903425142420548,0.03171131636833202,0.6809749300964953,1.0412074969183613,1.1010043894207138,0.015067834457450628,6.594138818386306,0,3,0.0,0.0,0.0,4.240625,0.0
0.008663426423375491,66.51086371950858,0.647949328274351,0.2108351155813714,0.04933200591667203,0.1133766955671771,0.7666367007732992,0.00152934599959316,0.09044667275747366,0.7369799013005074,2.963823412447138,5.8588612115477,0.02568159955676635,17.504274301054515,0,3,0.0,0.0,0.0,4.065625,0.0
0.0570170340436758,55.0329241232482,0.6056210938151775,0.4126791723788301,0.05228107963207146,0.27613119641622275,0.43557178750146147,0.019997849381737345,0.11291091402042652,0.6879379740143253,0.10636531372583413,3.872424178548101,0.044647175618852175,7.286861456031639,0,3,0.0,0.0,0.0,12.665625,0.371875
0.0792681812607514,75.64188529920327,0.6294869253742401,0.41833694560774104,0.07445835158244773,0.3079392928599738,0.40088210559592174,0.00014779101414675647,0.04880506686960252,0.789049984183654,4.892142730686537,7.937368385038519,0.005392692507927494,12.922662976052887,0,3,0.0,0.0,0.0,3.86875,0.0
0.04992486035076476,79.07031215883052,0.6977308068618465,0.2776831773246262,0.04538860413447688,0.2881858855524045,0.5779034319944254,0.0004993043919751819,0.10341239647069819,0.7312783247300447,3.0876907379866942,4.0331862591886525,0.05890257184927227,13.7340318177131,3,3,1.0,1.0,1.0,28.175,1.0
0.16888212299716768,34.36546834557163,0.6685282603420499,0.2549587653436163,0.06803197403970783,0.22711792585488066,0.7704414579954464,0.00010397404236719826,0.08873810361293086,0.47990612013095246,4.084667850298733,4.972414508249955,0.051112900083601254,15.63061096649854,0,3,0.0,0.0,0.0,4.384375,0.0
