contact_probability,duration_generations,duration_years,criterion,ignitions,replicates,ignition_probability,wilson_low,wilson_high,median_first_primary_year_if_any,median_final_repertoire,median_final_primary_fraction,median_final_cognition,median_final_infrastructure
0.05,60,1500,strict,27,100,0.27,0.1926958414957634,0.36432116767944994,4000.0,18.0921875,0.59375,0.4003991661449313,0.603615148238103
0.06,60,1500,permissive,68,100,0.68,0.5833738138954762,0.7633085267500092,3725.0,22.8421875,0.7796875,0.4673152672669476,0.7921327288915957
0.06,60,1500,primary,63,100,0.63,0.5322052958094291,0.7181763946567546,3725.0,22.8421875,0.7796875,0.4673152672669476,0.7921327288915957
0.06,60,1500,strict,49,100,0.49,0.3942199893044113,0.5865198806597283,3725.0,22.8421875,0.7796875,0.4673152672669476,0.7921327288915957
0.08,60,1500,permissive,80,100,0.8,0.7111708344068411,0.8666330666689676,3750.0,25.2296875,0.8734375,0.489218613376442,0.8767284934413375
0.08,60,1500,primary,73,100,0.73,0.6356788323205499,0.8073041585042365,3750.0,25.2296875,0.8734375,0.489218613376442,0.8767284934413375
0.08,60,1500,strict,60,100,0.6,0.5020025867910618,0.6905987135675411,3750.0,25.2296875,0.8734375,0.489218613376442,0.8767284934413375
0.1,60,1500,permissive,81,100,0.81,0.7222115462093562,0.8748524849023126,3650.0,27.4578125,0.99375,0.5196901264842262,0.9972568268172295
0.1,60,1500,primary,79,100,0.79,0.7002003116591013,0.858343459380847,3650.0,27.4578125,0.99375,0.5196901264842262,0.9972568268172295
0.1,60,1500,strict,77,100,0.77,0.6784561697712622,0.8415673411969654,3650.0,27.4578125,0.99375,0.5196901264842262,0.9972568268172295
0.12,60,1500,permissive,88,100,0.88,0.8018790057328857,0.9300059356298052,3675.0,27.6125,0.996875,0.5275600572533236,0.9973434080448175
0.12,60,1500,primary,86,100,0.86,0.7786281178903616,0.9147365634006086,3675.0,27.6125,0.996875,0.5275600572533236,0.9973434080448175
0.12,60,1500,strict,80,100,0.8,0.7111708344068411,0.8666330666689676,3675.0,27.6125,0.996875,0.5275600572533236,0.9973434080448175
0.002,80,2000,permissive,1,100,0.01,0.0017674320641406505,0.054486196178705315,8162.5,4.8828125,0.0,0.2780049246367374,0.03652486669154416
0.002,80,2000,primary,0,100,0.0,3.469446951953614e-18,0.03699349820698568,8162.5,4.8828125,0.0,0.2780049246367374,0.03652486669154416
0.002,80,2000,strict,0,100,0.0,3.469446951953614e-18,0.03699349820698568,8162.5,4.8828125,0.0,0.2780049246367374,0.03652486669154416
0.02,80,2000,permissive,27,100,0.27,0.1926958414957634,0.36432116767944994,4525.0,11.078125,0.3125,0.32531278939593333,0.33216028694227817
0.02,80,2000,primary,19,100,0.19,0.12514751509768735,0.27778845379064376,4525.0,11.078125,0.3125,0.32531278939593333,0.33216028694227817
0.02,80,2000,strict,6,100,0.06,0.027786123963188192,0.1247681544589592,4525.0,11.078125,0.3125,0.32531278939593333,0.33216028694227817
0.03,80,2000,permissive,43,100,0.43,0.33733298524110106,0.5278461045078768,4400.0,15.590625,0.5,0.37824819517695685,0.5131358665309
0.03,80,2000,primary,32,100,0.32,0.23669147324999093,0.41662618610452384,4400.0,15.590625,0.5,0.37824819517695685,0.5131358665309
0.03,80,2000,strict,13,100,0.13,0.07757167427240512,0.20980351440076428,4400.0,15.590625,0.5,0.37824819517695685,0.5131358665309
0.04,80,2000,permissive,72,100,0.72,0.6251197129007884,0.7986031478881379,4075.0,21.68125,0.746875,0.4387828775915914,0.7533245335993874
0.04,80,2000,primary,67,100,0.67,0.5730534379509052,0.7543687726587197,4075.0,21.68125,0.746875,0.4387828775915914,0.7533245335993874
0.04,80,2000,strict,41,100,0.41,0.3186731302113651,0.5079856994658921,4075.0,21.68125,0.746875,0.4387828775915914,0.7533245335993874
0.05,80,2000,permissive,81,100,0.81,0.7222115462093562,0.8748524849023126,3900.0,24.3890625,0.871875,0.47255360515257666,0.8746285728483519
0.05,80,2000,primary,76,100,0.76,0.6676766365018553,0.8330867444305122,3900.0,24.3890625,0.871875,0.47255360515257666,0.8746285728483519
0.05,80,2000,strict,56,100,0.56,0.4622810465167699,0.6532797336983921,3900.0,24.3890625,0.871875,0.47255360515257666,0.8746285728483519
0.06,80,2000,permissive,79,100,0.79,0.7002003116591013,0.858343459380847,3825.0,26.1421875,0.934375,0.5018189456991065,0.9363385015782422
0.06,80,2000,primary,77,100,0.77,0.6784561697712622,0.8415673411969654,3825.0,26.1421875,0.934375,0.5018189456991065,0.9363385015782422
0.06,80,2000,strict,64,100,0.64,0.5423540245160874,0.7272877959859567,3825.0,26.1421875,0.934375,0.5018189456991065,0.9363385015782422
0.08,80,2000,permissive,89,100,0.89,0.8136870349691969,0.9374580364293543,3737.5,27.4671875,0.99375,0.5211734693320131,0.9972614941862274
0.08,80,2000,primary,88,100,0.88,0.8018790057328857,0.9300059356298052,3737.5,27.4671875,0.99375,0.5211734693320131,0.9972614941862274
0.08,80,2000,strict,83,100,0.83,0.7445199523239887,0.8910643388594006,3737.5,27.4671875,0.99375,0.5211734693320131,0.9972614941862274
0.1,80,2000,permissive,89,100,0.89,0.8136870349691969,0.9374580364293543,3775.0,27.6109375,0.996875,0.5251491279657257,0.9973048247224767
0.1,80,2000,primary,89,100,0.89,0.8136870349691969,0.9374580364293543,3775.0,27.6109375,0.996875,0.5251491279657257,0.9973048247224767
0.1,80,2000,strict,87,100,0.87,0.7901964855992357,0.9224283257275948,3775.0,27.6109375,0.996875,0.5251491279657257,0.9973048247224767
0.12,80,2000,permissive,94,100,0.94,0.8752318455410406,0.9722138760368118,3700.0,27.714062499999997,0.996875,0.5431761836695896,0.9973886669770278
0.12,80,2000,primary,94,100,0.94,0.8752318455410406,0.9722138760368118,3700.0,27.714062499999997,0.996875,0.5431761836695896,0.9973886669770278
0.12,80,2000,strict,93,100,0.93,0.8625048526092651,0.9656807389327273,3700.0,27.714062499999997,0.996875,0.5431761836695896,0.9973886669770278
