topology,network_realization,graph_seed,contact_probability,duration_years,ignitions,agent_replicates,ignition_probability,median_final_repertoire,median_first_ignition_year_if_any,density,clustering,mean_shortest_path,degree_cv,modularity
Scale-free,4,20320055,0.08,1500,2,8,0.25,9.3984375,4050.0,0.2333333333333333,0.4067460317460317,1.9833333333333332,0.662401321106836,0.2786989795918367
Scale-free,5,20320056,0.08,1500,3,8,0.375,18.1109375,3887.5,0.2333333333333333,0.4289186507936507,2.05,0.6060915267313264,0.3067602040816326
Scale-free,6,20320057,0.08,1500,2,8,0.25,11.6859375,4325.0,0.2333333333333333,0.2553571428571428,2.125,0.5248906591678238,0.2901785714285714
Scale-free,7,20320058,0.08,1500,3,8,0.375,15.10625,4287.5,0.2333333333333333,0.5049107142857143,1.9666666666666663,0.67005939426049,0.2551020408163265
Scale-free,8,20320059,0.08,1500,1,8,0.125,12.446875,4200.0,0.2333333333333333,0.5835813492063492,2.066666666666667,0.6226998490772392,0.3392857142857143
Scale-free,9,20320060,0.08,1500,2,8,0.25,15.715625,3912.5,0.2333333333333333,0.3651785714285714,2.066666666666667,0.4629100498862757,0.28125
Scale-free,10,20320061,0.08,1500,7,8,0.875,27.621875,3775.0,0.2333333333333333,0.4791170634920635,2.0416666666666665,0.6308400618805605,0.267219387755102
Scale-free,11,20320062,0.08,1500,4,8,0.5,17.2625,3937.5,0.2333333333333333,0.4509469696969697,2.025,0.67005939426049,0.2786989795918367
Scale-free,12,20320063,0.08,1500,3,8,0.375,14.678125,4375.0,0.2333333333333333,0.5934027777777777,2.0166666666666666,0.7213932098830055,0.274234693877551
Scale-free,13,20320064,0.08,1500,4,8,0.5,17.23125,4087.5,0.2333333333333333,0.5625,1.9,0.7142857142857143,0.2525510204081633
Scale-free,14,20320065,0.08,1500,3,8,0.375,12.49375,4175.0,0.2333333333333333,0.4742063492063492,2.033333333333333,0.662401321106836,0.2786989795918367
Scale-free,15,20320066,0.08,1500,4,8,0.5,18.409375,3875.0,0.2333333333333333,0.3768353174603174,1.9833333333333332,0.5624291338579865,0.2442602040816326
