model,flag,contact_probability,duration_generations,duration_years,seed,primary_ignition,first_generation,final_repertoire,final_primary_fraction,final_cognition,final_infrastructure
Full model,0,0.06,40,1000,1040625,0,158,5.2,0.040625,0.2330197681462452,0.0772016103652573
Full model,0,0.06,40,1000,1040626,0,142,15.890625,0.5,0.366118755994661,0.5167699704652479
Full model,0,0.06,40,1000,1040627,0,-1,5.053125,0.01875,0.2227806993034937,0.0748336965120503
Full model,0,0.06,40,1000,1040628,1,135,27.978125,0.996875,0.5715225332800264,0.9975503731739364
Full model,0,0.06,40,1000,1040629,1,141,24.9375,0.865625,0.5098759769806367,0.8789473994456647
Full model,0,0.06,40,1000,1040630,0,-1,4.58125,0.0,0.2448939044528839,0.0354421608473625
Full model,0,0.06,40,1000,1040631,1,150,22.603125,0.8,0.424737139721062,0.816075796451727
Full model,0,0.06,40,1000,1040632,0,-1,6.140625,0.084375,0.2722868216458992,0.1421612398146949
Full model,0,0.06,40,1000,1040633,0,284,13.3125,0.434375,0.3325926659868556,0.4434329235115465
Full model,0,0.06,40,1000,1040634,1,143,23.4625,0.8125,0.4696655413766627,0.8133062466929255
Full model,0,0.06,40,1000,1040635,0,-1,6.459375,0.0625,0.3065393018615746,0.1317912191483082
Full model,0,0.06,40,1000,1040636,0,-1,5.403125,0.009375,0.2808654413828148,0.0728664690790901
Full model,0,0.06,40,1000,1040637,0,155,15.44375,0.496875,0.3895467333481613,0.510386758939772
Full model,0,0.06,40,1000,1040638,0,153,17.478125,0.55625,0.3853699813627271,0.5714800142802856
Full model,0,0.06,40,1000,1040639,0,163,13.271875,0.384375,0.3309294890558488,0.439271190510453
Full model,0,0.06,40,1000,1040640,0,148,17.60625,0.5625,0.3996683274466262,0.5716114640421636
Full model,0,0.06,40,1000,1040641,0,147,15.984375,0.5,0.3580184371950712,0.5099712509734187
Full model,0,0.06,40,1000,1040642,0,178,9.065625,0.25,0.3078581756747219,0.2608865337777989
Full model,0,0.06,40,1000,1040643,1,146,22.98125,0.809375,0.4394922137714608,0.8142877934375593
Full model,0,0.06,40,1000,1040644,0,317,8.825,0.246875,0.3036605989746146,0.2675943315362981
Full model,0,0.06,40,1000,1040645,0,340,6.190625,0.121875,0.2283006623581025,0.1389504547785696
Full model,0,0.06,40,1000,1040646,1,157,20.20625,0.690625,0.4373562233107068,0.693298119450352
Full model,0,0.06,40,1000,1040647,1,149,20.64375,0.6875,0.43204009192587,0.6986756931467188
Full model,0,0.06,40,1000,1040648,0,158,13.10625,0.428125,0.3323539269300778,0.4481204798032646
Full model,0,0.06,40,1000,1040649,1,141,21.84375,0.75,0.4520752223992051,0.7617920240001375
Full model,0,0.1,40,1000,1041000,0,153,16.859375,0.55625,0.3597709736503499,0.571029078458541
Full model,0,0.1,40,1000,1041001,1,147,27.059375,0.984375,0.5027929759898294,0.9971313841564798
Full model,0,0.1,40,1000,1041002,0,-1,5.515625,0.025,0.2812693844092183,0.081977335144556
Full model,0,0.1,40,1000,1041003,1,130,27.946875,0.996875,0.5470672570452249,0.9974685010278984
Full model,0,0.1,40,1000,1041004,0,-1,5.95625,0.0625,0.2717496886216405,0.1085790641663357
Full model,0,0.1,40,1000,1041005,1,139,26.15,0.93125,0.5272750219522941,0.9365051426668468
Full model,0,0.1,40,1000,1041006,1,147,24.75,0.875,0.4835273594702559,0.8745069493266865
Full model,0,0.1,40,1000,1041007,1,142,26.696875,0.934375,0.5459643040276205,0.9412394722505588
Full model,0,0.1,40,1000,1041008,0,202,11.85625,0.371875,0.3392164678276447,0.3860821211250242
Full model,0,0.1,40,1000,1041009,0,269,10.390625,0.3,0.3563755042424966,0.3422828678117584
Full model,0,0.1,40,1000,1041010,1,134,27.85625,1.0,0.527529772761597,0.9972888774219532
Full model,0,0.1,40,1000,1041011,1,139,23.253125,0.8125,0.4710709618744403,0.8132073336247501
Full model,0,0.1,40,1000,1041012,0,152,14.44375,0.4375,0.3687565197472365,0.4484960064315931
Full model,0,0.1,40,1000,1041013,0,151,14.9875,0.4875,0.3511141618386021,0.5120620166824427
Full model,0,0.1,40,1000,1041014,0,147,17.76875,0.5625,0.4311661483194206,0.5708437564467844
Full model,0,0.1,40,1000,1041015,0,152,17.2,0.5625,0.4004429759760158,0.5785244683226318
Full model,0,0.1,40,1000,1041016,0,316,6.3125,0.103125,0.261829920572283,0.1463630088226194
Full model,0,0.1,40,1000,1041017,1,149,20.603125,0.6875,0.4417868680853403,0.693726928424128
Full model,0,0.1,40,1000,1041018,1,134,27.728125,1.0,0.5240576155618217,0.9972891918176812
Full model,0,0.1,40,1000,1041019,1,141,26.1625,0.9375,0.4998801286871283,0.9359358811775332
Full model,0,0.1,40,1000,1041020,0,170,11.909375,0.3125,0.33366611006468,0.3297505090570149
Full model,0,0.1,40,1000,1041021,0,137,18.109375,0.625,0.3703061559665698,0.6292473226768349
Full model,0,0.1,40,1000,1041022,1,144,24.59375,0.871875,0.482427662797762,0.8768240935956624
Full model,0,0.1,40,1000,1041023,1,151,20.01875,0.6875,0.3843474663221464,0.6911924273291187
Full model,0,0.1,40,1000,1041024,1,138,27.696875,1.0,0.5385053510198788,0.9974040799738328
Full model,0,0.1,40,1000,1041025,0,153,12.825,0.378125,0.3357345333851947,0.3878207362144522
Full model,0,0.1,40,1000,1041026,0,145,16.115625,0.5,0.4021965851332328,0.516343921412246
Full model,0,0.1,40,1000,1041027,1,148,24.740625,0.871875,0.4950082210448484,0.875031394100135
Full model,0,0.1,40,1000,1041028,1,132,27.615625,1.0,0.5227836440930596,0.9974064552054284
Full model,0,0.1,40,1000,1041029,0,264,7.871875,0.190625,0.2730615614034363,0.2010824012402886
Full model,0,0.1,40,1000,1041030,0,329,7.975,0.18125,0.3569474862276727,0.2116073942442506
Full model,0,0.1,40,1000,1041031,0,227,11.25625,0.3125,0.2916876562148531,0.3256934337145696
Full model,0,0.1,40,1000,1041032,1,136,27.55625,1.0,0.5237999855147201,0.9973986018763864
Full model,0,0.1,40,1000,1041033,1,138,27.790625,1.0,0.5340940657326031,0.9973119505105936
Full model,0,0.1,40,1000,1041034,0,165,10.534375,0.3125,0.314344566220572,0.3275700971483629
Full model,0,0.1,40,1000,1041035,1,137,27.559375,0.99375,0.52155671813896,0.9971920393127012
Full model,0,0.1,40,1000,1041036,0,150,18.215625,0.559375,0.4231837102265225,0.5781381696846848
Full model,0,0.1,40,1000,1041037,1,138,27.934375,1.0,0.5596536032509085,0.9973926938237042
Full model,0,0.1,40,1000,1041038,0,199,11.896875,0.3125,0.3133434230213335,0.3372873012510514
Full model,0,0.1,40,1000,1041039,1,139,27.803125,0.990625,0.5390503515516916,0.9973650840993792
Full model,0,0.1,40,1000,1041040,1,141,26.346875,0.9375,0.5123247168219413,0.938000671391134
Full model,0,0.1,40,1000,1041041,1,151,21.846875,0.75,0.4254025096535104,0.7547006002572114
